"Bevolkingsontwikkeling; levendgeborenen, overledenen en migratie, per dag"
"Dinsdag 4 juni 1996";"572"
"Woensdag 5 juni 1996";"570"
"Donderdag 6 juni 1996";"546"
"Vrijdag 7 juni 1996";"555"
"Zaterdag 8 juni 1996";"469"
"Zondag 9 juni 1996";"430"
"Maandag 10 juni 1996";"534"
"Dinsdag 11 juni 1996";"635"
"Woensdag 12 juni 1996";"576"
"Donderdag 13 juni 1996";"499"
"Vrijdag 14 juni 1996";"509"
"Zaterdag 15 juni 1996";"404"
"Zondag 16 juni 1996";"427"
"Maandag 17 juni 1996";"581"
"Dinsdag 18 juni 1996";"548"
"Woensdag 19 juni 1996";"507"
"Donderdag 20 juni 1996";"526"
"Vrijdag 21 juni 1996";"588"
"Zaterdag 22 juni 1996";"472"
"Zondag 23 juni 1996";"409"
"Maandag 24 juni 1996";"552"
"Dinsdag 25 juni 1996";"600"
"Woensdag 26 juni 1996";"594"
"Donderdag 27 juni 1996";"618"
"Vrijdag 28 juni 1996";"565"
"Zaterdag 29 juni 1996";"487"
"Zondag 30 juni 1996";"465"
"Totaal juli 1996";"16561"
"Maandag 1 juli 1996";"570"
"Dinsdag 2 juli 1996";"571"
"Woensdag 3 juli 1996";"574"
"Donderdag 4 juli 1996";"579"
"Vrijdag 5 juli 1996";"565"
"Zaterdag 6 juli 1996";"448"
"Zondag 7 juli 1996";"407"
"Maandag 8 juli 1996";"564"
"Dinsdag 9 juli 1996";"601"
"Woensdag 10 juli 1996";"613"
"Donderdag 11 juli 1996";"599"
"Vrijdag 12 juli 1996";"589"
"Zaterdag 13 juli 1996";"435"
"Zondag 14 juli 1996";"440"
"Maandag 15 juli 1996";"589"
"Dinsdag 16 juli 1996";"580"
"Woensdag 17 juli 1996";"531"
"Donderdag 18 juli 1996";"609"
"Vrijdag 19 juli 1996";"594"
"Zaterdag 20 juli 1996";"426"
"Zondag 21 juli 1996";"431"
"Maandag 22 juli 1996";"547"
"Dinsdag 23 juli 1996";"553"
"Woensdag 24 juli 1996";"544"
"Donderdag 25 juli 1996";"523"
"Vrijdag 26 juli 1996";"505"
"Zaterdag 27 juli 1996";"466"
"Zondag 28 juli 1996";"419"
"Maandag 29 juli 1996";"533"
"Dinsdag 30 juli 1996";"580"
"Woensdag 31 juli 1996";"576"
"Totaal augustus 1996";"16680"
"Donderdag 1 augustus 1996";"575"
"Vrijdag 2 augustus 1996";"531"
"Zaterdag 3 augustus 1996";"442"
"Zondag 4 augustus 1996";"408"
"Maandag 5 augustus 1996";"591"
"Dinsdag 6 augustus 1996";"592"
"Woensdag 7 augustus 1996";"561"
"Donderdag 8 augustus 1996";"609"
"Vrijdag 9 augustus 1996";"547"
"Zaterdag 10 augustus 1996";"492"
"Zondag 11 augustus 1996";"416"
"Maandag 12 augustus 1996";"542"
"Dinsdag 13 augustus 1996";"577"
"Woensdag 14 augustus 1996";"592"
"Donderdag 15 augustus 1996";"585"
"Vrijdag 16 augustus 1996";"581"
"Zaterdag 17 augustus 1996";"441"
"Zondag 18 augustus 1996";"432"
"Maandag 19 augustus 1996";"573"
"Dinsdag 20 augustus 1996";"587"
"Woensdag 21 augustus 1996";"653"
"Donderdag 22 augustus 1996";"584"
"Vrijdag 23 augustus 1996";"568"
"Zaterdag 24 augustus 1996";"469"
"Zondag 25 augustus 1996";"439"
"Maandag 26 augustus 1996";"542"
"Dinsdag 27 augustus 1996";"585"
"Woensdag 28 augustus 1996";"609"
"Donderdag 29 augustus 1996";"572"
"Vrijdag 30 augustus 1996";"538"
"Zaterdag 31 augustus 1996";"447"
"Totaal september 1996";"16430"
"Zondag 1 september 1996";"433"
"Maandag 2 september 1996";"489"
"Dinsdag 3 september 1996";"563"
"Woensdag 4 september 1996";"523"
"Donderdag 5 september 1996";"557"
"Vrijdag 6 september 1996";"544"
"Zaterdag 7 september 1996";"461"
"Zondag 8 september 1996";"476"
"Maandag 9 september 1996";"557"
"Dinsdag 10 september 1996";"617"
"Woensdag 11 september 1996";"571"
"Donderdag 12 september 1996";"616"
"Vrijdag 13 september 1996";"600"
"Zaterdag 14 september 1996";"482"
"Zondag 15 september 1996";"427"
"Maandag 16 september 1996";"532"
"Dinsdag 17 september 1996";"637"
"Woensdag 18 september 1996";"615"
"Donderdag 19 september 1996";"606"
"Vrijdag 20 september 1996";"609"
"Zaterdag 21 september 1996";"493"
"Zondag 22 september 1996";"450"
"Maandag 23 september 1996";"613"
"Dinsdag 24 september 1996";"628"
"Woensdag 25 september 1996";"624"
"Donderdag 26 september 1996";"641"
"Vrijdag 27 september 1996";"536"
"Zaterdag 28 september 1996";"488"
"Zondag 29 september 1996";"435"
"Maandag 30 september 1996";"607"
"Totaal oktober 1996";"16412"
"Dinsdag 1 oktober 1996";"592"
"Woensdag 2 oktober 1996";"614"
"Donderdag 3 oktober 1996";"594"
"Vrijdag 4 oktober 1996";"554"
"Zaterdag 5 oktober 1996";"446"
"Zondag 6 oktober 1996";"402"
"Maandag 7 oktober 1996";"566"
"Dinsdag 8 oktober 1996";"563"
"Woensdag 9 oktober 1996";"564"
"Donderdag 10 oktober 1996";"560"
"Vrijdag 11 oktober 1996";"579"
"Zaterdag 12 oktober 1996";"460"
"Zondag 13 oktober 1996";"430"
"Maandag 14 oktober 1996";"552"
"Dinsdag 15 oktober 1996";"581"
"Woensdag 16 oktober 1996";"559"
"Donderdag 17 oktober 1996";"562"
"Vrijdag 18 oktober 1996";"546"
"Zaterdag 19 oktober 1996";"452"
"Zondag 20 oktober 1996";"407"
"Maandag 21 oktober 1996";"530"
"Dinsdag 22 oktober 1996";"547"
"Woensdag 23 oktober 1996";"549"
"Donderdag 24 oktober 1996";"586"
"Vrijdag 25 oktober 1996";"517"
"Zaterdag 26 oktober 1996";"467"
"Zondag 27 oktober 1996";"410"
"Maandag 28 oktober 1996";"534"
"Dinsdag 29 oktober 1996";"580"
"Woensdag 30 oktober 1996";"545"
"Donderdag 31 oktober 1996";"564"
"Totaal november 1996";"15508"
"Vrijdag 1 november 1996";"578"
"Zaterdag 2 november 1996";"476"
"Zondag 3 november 1996";"427"
"Maandag 4 november 1996";"504"
"Dinsdag 5 november 1996";"554"
"Woensdag 6 november 1996";"566"
"Donderdag 7 november 1996";"568"
"Vrijdag 8 november 1996";"562"
"Zaterdag 9 november 1996";"447"
"Zondag 10 november 1996";"419"
"Maandag 11 november 1996";"532"
"Dinsdag 12 november 1996";"588"
"Woensdag 13 november 1996";"582"
"Donderdag 14 november 1996";"538"
"Vrijdag 15 november 1996";"587"
"Zaterdag 16 november 1996";"434"
"Zondag 17 november 1996";"388"
"Maandag 18 november 1996";"517"
"Dinsdag 19 november 1996";"593"
"Woensdag 20 november 1996";"559"
"Donderdag 21 november 1996";"535"
"Vrijdag 22 november 1996";"515"
"Zaterdag 23 november 1996";"429"
"Zondag 24 november 1996";"432"
"Maandag 25 november 1996";"546"
"Dinsdag 26 november 1996";"551"
"Woensdag 27 november 1996";"557"
"Donderdag 28 november 1996";"560"
"Vrijdag 29 november 1996";"506"
